학교명,시도교육청,지역,학교급구분,본교분교구분,학생수,학급수,총세출금액,학생수_변화율,지역학령인구 변화율,인구감소지역 지정여부,위기확률,고위험여부,위도,경도
동광초등학교,경상남도교육청,경상남도 고성군,초등학교,본교,11,3,693309890,-52.17391304347826,-12.29,1.0,0.65082747,1,35.00877915,128.4005598
연천왕산초등학교,경기도교육청,경기도 연천군,초등학교,본교,32,7,1277710680,0.0,-5.26,1.0,0.648547,1,38.05625632,127.0110148
삼성초등학교,강원특별자치도교육청,강원특별자치도 태백시,초등학교,본교,7,2,524571911,-50.0,-9.15,1.0,0.6474465,1,37.09757635,129.0235889
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,초등학교,본교,16,4,496556280,6.666666666666665,-3.77,1.0,0.63722515,1,37.33734175,127.9730349
비룡초등학교,전북특별자치도교육청,전북특별자치도 김제시,초등학교,본교,9,5,449749360,-40.0,-5.75,1.0,0.6323201,1,35.84412437,126.9898157
치문초등학교,전북특별자치도교육청,전북특별자치도 김제시,초등학교,본교,20,6,600391040,-20.0,-5.75,1.0,0.6268333,1,35.90638956,126.9362332
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,937611420,32.14285714285714,-6.28,0.0,0.62371504,1,37.6034034,126.8243428
여수봉산초등학교,전라남도교육청,전라남도 여수시,초등학교,본교,23,6,800255460,4.545454545454541,-7.32,0.0,0.6233241,1,34.73549535,127.7272231
신기초등학교,경상북도교육청,경상북도 문경시,초등학교,본교,28,7,742209600,-20.0,-7.46,1.0,0.6229372,1,36.64004812,128.168488
유천초등학교,경상북도교육청,경상북도 예천군,초등학교,본교,28,7,799958410,-31.707317073170728,-5.38,0.0,0.62138534,1,36.63691112,128.3785308
