고위험학교명,고위험_시도교육청,고위험_지역,고위험_학교급,고위험_본교분교,고위험_학생수,고위험_학급수,고위험_위기확률,고위험_위도,고위험_경도,고위험_현재_학급당학생수,고위험_현재_교원1인당,고위험_현재_1인당운영비,후보순위,후보학교명,후보학교급,후보_위도,후보_경도,직선거리_km,도로거리_km,소요시간_분,중심지_현재학교_km,중심지_현재학교_분,중심지_후보학교_km,중심지_후보학교_분,통학거리_변화_km,통학시간_변화_분,폐교시_절감비용,고정비잔존_추정,후보교_추가비용_추정,순절감액_추정,후보_연간운영비,스쿨존_CCTV수,스쿨존_도로폭,버스접근성,버스정류장수,최근접버스_km,후보_현재학생수,후보_학급수,후보_교사수,통폐합후_예상학생수,통폐합후_학급당학생수,통폐합후_교원1인당,수용가능성,통합전_1인당운영비,통합후_1인당운영비,종합점수
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,74,보름초등학교,초등학교,37.59470228,126.7625643,5.528,9.377,11.8,1.138,2.6,8.376,10.6,7.238,8.0,937611420.0,281283426.0,937611413.0,-281283419.0,3964660540.0,0,12.0,양호,33,0.132,1750,71,84,1787,25.2,21.3,과밀위험,2265520.0,2743297.0,0.4235
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,75,서울강신초등학교,초등학교,37.54209971,126.8295837,6.832,10.253,9.7,1.138,2.6,10.31,11.2,9.172,8.6,937611420.0,281283426.0,937611413.0,-281283419.0,2636332441.0,1,7.0,양호,103,0.067,597,31,36,634,20.5,17.6,보통,4415967.0,5637135.0,0.4208
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,76,서울망원초등학교,초등학교,37.56088948,126.9007631,8.228,9.961,10.0,1.138,2.6,10.488,11.7,9.35,9.1,937611420.0,281283426.0,937611413.0,-281283419.0,1350711793.0,1,0.0,양호,89,0.137,175,12,15,212,17.7,14.1,보통,7718353.0,10793977.0,0.4208
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,77,서울가곡초등학교,초등학교,37.55570761,126.8361031,5.404,9.332,9.6,1.138,2.6,9.678,11.3,8.54,8.7,937611420.0,281283426.0,937611413.0,-281283419.0,2482705393.0,1,0.0,양호,111,0.139,653,32,37,690,21.6,18.6,보통,3801999.0,4956981.0,0.4202
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,78,서울월정초등학교,초등학교,37.53499419,126.8362936,7.679,10.2,9.9,1.138,2.6,11.088,11.7,9.95,9.1,937611420.0,281283426.0,937611413.0,-281283419.0,3341456254.0,1,12.0,양호,119,0.135,711,37,44,748,20.2,17.0,보통,4699657.0,5720679.0,0.4196
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,79,율동초등학교,초등학교,37.67544394,126.7788445,8.956,11.148,16.1,1.138,2.6,10.19,14.6,9.052,12.0,937611420.0,281283426.0,937611413.0,-281283419.0,1376028100.0,1,8.0,양호,82,0.261,223,13,17,260,20.0,15.3,보통,6170530.0,8898614.0,0.4192
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,80,덕은한강초등학교,초등학교,37.58145736,126.8636597,4.237,8.094,9.4,1.138,2.6,7.961,9.9,6.823,7.3,937611420.0,281283426.0,937611413.0,-281283419.0,3408696626.0,0,0.0,양호,56,0.148,1366,56,66,1403,25.1,21.3,과밀위험,2495386.0,3097867.0,0.4185
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,81,일산은행초등학교,초등학교,37.66932912,126.8064844,7.497,10.911,14.1,1.138,2.6,9.952,12.6,8.814,10.0,937611420.0,281283426.0,937611413.0,-281283419.0,1321166690.0,1,7.0,양호,70,0.115,239,13,17,276,21.2,16.2,보통,5527894.0,8183979.0,0.4171
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,82,서울목원초등학교,초등학교,37.54291947,126.8824459,8.453,10.104,10.5,1.138,2.6,11.241,13.1,10.103,10.5,937611420.0,281283426.0,937611413.0,-281283419.0,1818392998.0,1,14.0,양호,75,0.097,439,23,28,476,20.7,17.0,보통,4142125.0,5789925.0,0.4151
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,83,냉천초등학교,초등학교,37.66672298,126.7856589,7.822,10.56,14.4,1.138,2.6,9.602,12.9,8.464,10.3,937611420.0,281283426.0,937611413.0,-281283419.0,1664683410.0,1,0.0,양호,64,0.104,316,17,21,353,20.8,16.8,보통,5267985.0,7371940.0,0.4142
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,84,서울양화초등학교,초등학교,37.5436693,126.873986,7.954,9.4,10.1,1.138,2.6,10.538,12.7,9.4,10.1,937611420.0,281283426.0,937611413.0,-281283419.0,3354460595.0,1,0.0,양호,82,0.308,536,29,34,573,19.8,16.9,보통,6258322.0,7490527.0,0.414
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,85,고양동산초등학교,초등학교,37.64638623,126.8865118,7.268,9.33,12.3,1.138,2.6,9.521,12.6,8.383,10.0,937611420.0,281283426.0,937611413.0,-281283419.0,3018605790.0,1,0.0,양호,80,0.055,1012,45,55,1049,23.3,19.1,보통,2982812.0,3771418.0,0.4139
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,86,정발초등학교,초등학교,37.65577171,126.783759,6.832,8.941,12.4,1.138,2.6,7.982,10.9,6.844,8.3,937611420.0,281283426.0,937611413.0,-281283419.0,2703727730.0,0,0.0,양호,68,0.258,872,37,46,909,24.6,19.8,보통,3100605.0,4005874.0,0.4128
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,87,향동초등학교,초등학교,37.60347891,126.8954667,6.266,10.511,11.6,1.138,2.6,9.944,12.1,8.806,9.5,937611420.0,281283426.0,937611413.0,-281283419.0,2671251740.0,1,9.0,양호,37,0.073,953,41,49,990,24.1,20.2,보통,2802992.0,3645316.0,0.4097
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,88,백마초등학교,초등학교,37.65789717,126.7908831,6.738,9.7,14.4,1.138,2.6,8.741,12.9,7.603,10.3,937611420.0,281283426.0,937611413.0,-281283419.0,2132818290.0,0,0.0,양호,64,0.23,462,23,27,499,21.7,18.5,보통,4616490.0,6153166.0,0.4077
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,89,서울내발산초등학교,초등학교,37.55088255,126.8381642,5.966,9.56,11.0,1.138,2.6,10.835,13.2,9.697,10.6,937611420.0,281283426.0,937611413.0,-281283419.0,3694088928.0,1,7.0,양호,95,0.209,1071,49,57,1108,22.6,19.4,보통,3449196.0,4180235.0,0.4068
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,90,서울성원초등학교,초등학교,37.56698252,126.9050853,8.187,9.891,9.8,1.138,2.6,10.024,10.8,8.886,8.2,937611420.0,281283426.0,937611413.0,-281283419.0,1649393712.0,1,0.0,양호,124,0.294,228,12,16,265,22.1,16.6,보통,7234183.0,9762283.0,0.4061
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,91,서울공항초등학교,초등학교,37.56302167,126.8216459,4.497,10.337,10.7,1.138,2.6,8.241,9.3,7.103,6.7,937611420.0,281283426.0,937611413.0,-281283419.0,4390523265.0,0,0.0,양호,105,0.078,1250,57,68,1287,22.6,18.9,보통,3512419.0,4139965.0,0.4057
